1. mackie, polly, rmit, taacman, redondo, msf, timmons, keele, benson, proline
2. lesher, eilenberger, preset, manhattan, bronx, stein, mikgr, oliveira, dac, unisql
3. parikh, hendricks, herriott, caglan, vxy, tymnet, micor, bifida, buckminster, tennis
4. mathewson, amoral, jointly, pigsburg, petaluma, consent, dpl, scallop, ballentine, passion
5. koi, laughed, pushed, nth, tue, paradise, packer, merlyn, jingle, tenn
6. exile, kol, hamvention, meyer, southwestern, ccalmr, nunn, petch, vccsouth, fraering
7. rabson, in, dineen, erupt, levin, tut, commits, hac, hela, orst
8. grease, tsa, singg, multitech, brinton, peoria, puck, subliminal, youngblood, struble
9. goudswaa, dominic, bellini, capacitive, glasgow, sachs, soren, brewich, elastic, desperate
10. kmr, neuron, cleaning, jacob, daigle, binah, trashy, dace, undesired, dictating
11. cph, ryukoku, mnhcc, falcon, gmeds, sastls, ruu, lzahas, jbore, sherzer
12. ncsl, fabrication, reck, godfrey, spearman, stardog, dane, jesse, runyon, chaudhary
13. tasalloti, evangelist, tcm, sphughes, mane, fixincludes, cri, neale, correlated, dfl
14. cambodia, disability, sfsu, andrea, intellect, skepticism, chastity, dsl, njxp, cadre
15. noguerola, onemli, nate, acb, hideous, blasting, passe, panasonic, sanjai, fokes
