N,K,alpha,eta,elbo,coherence,perplexity,topics,weights
25,1,0.01,0.01,19356.697265625,0.33929950883611665,,"[['model', 'data', 'learning', 'distribution', 'one', 'problem', 'neural', 'method', 'figure', 'number']]","[[0.01883078, 0.009933753, 0.0080845645, 0.007002966, 0.006584281, 0.0065145018, 0.00640983, 0.0057818033, 0.0055026817, 0.0053980104]]"
25,1,0.01,0.31,32647.595703125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010968672, 0.008244335, 0.005804633, 0.005784302, 0.0056216554, 0.00552, 0.0047067674, 0.004279819, 0.0040765097, 0.0038732016]]"
25,1,0.01,0.61,32697.03125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010948918, 0.008229483, 0.0057941675, 0.0057738726, 0.005611519, 0.0055100475, 0.004698275, 0.004272096, 0.004069153, 0.0038662096]]"
25,1,0.01,0.9099999999999999,32721.009765625,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010940379, 0.008223062, 0.005789642, 0.0057693617, 0.0056071356, 0.005505743, 0.0046946034, 0.0042687557, 0.0040659704, 0.0038631852]]"
25,1,0.01,5.0,32716.9375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.01094112, 0.008223618, 0.005790035, 0.0057697548, 0.005607517, 0.0055061164, 0.0046949224, 0.0042690453, 0.0040662466, 0.0038634487]]"
25,1,0.01,10.0,32716.9921875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941104, 0.008223606, 0.0057900264, 0.0057697464, 0.005607509, 0.005506109, 0.0046949154, 0.0042690393, 0.004066241, 0.0038634432]]"
25,1,0.31,0.01,19314.24609375,0.35124577456391587,,"[['model', 'data', 'algorithm', 'learning', 'variable', 'one', 'problem', 'neural', 'value', 'feature']]","[[0.018883782, 0.009961723, 0.009506871, 0.008107335, 0.006672807, 0.0066028303, 0.006532853, 0.006427888, 0.0059030605, 0.005553175]]"
25,1,0.31,0.31,32638.439453125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010972631, 0.008247316, 0.005806732, 0.005786395, 0.005623689, 0.005521997, 0.0047084703, 0.004281368, 0.004077987, 0.0038746041]]"
25,1,0.31,0.61,32698.6484375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010948421, 0.008229109, 0.005793905, 0.0057736095, 0.0056112637, 0.0055097947, 0.0046980614, 0.0042719007, 0.0040689674, 0.0038660336]]"
25,1,0.31,0.9099999999999999,32716.787109375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941832, 0.008224154, 0.005790411, 0.0057701305, 0.0056078797, 0.005506475, 0.0046952274, 0.0042693224, 0.004066511, 0.0038637]]"
25,1,0.31,5.0,32716.99609375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.0109411, 0.0082236035, 0.005790024, 0.005769744, 0.0056075067, 0.0055061067, 0.0046949135, 0.0042690374, 0.004066239, 0.0038634415]]"
25,1,0.31,10.0,32716.986328125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941106, 0.008223608, 0.0057900273, 0.0057697473, 0.00560751, 0.0055061094, 0.0046949163, 0.0042690397, 0.0040662414, 0.0038634439]]"
25,1,0.61,0.01,19025.75,0.3433701396048826,,"[['set', 'network', 'algorithm', 'learning', 'using', 'distribution', 'one', 'neural', 'value', 'feature']]","[[0.010145338, 0.009825762, 0.009648224, 0.008227898, 0.007482226, 0.007127144, 0.006701047, 0.0065235067, 0.005990885, 0.0056358036]]"
25,1,0.61,0.31,32638.09375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010973285, 0.008247809, 0.0058070775, 0.0057867393, 0.0056240237, 0.0055223275, 0.0047087506, 0.004281623, 0.0040782294, 0.0038748356]]"
25,1,0.61,0.61,32701.544921875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010947633, 0.008228517, 0.005793487, 0.005773194, 0.0056108595, 0.0055094007, 0.0046977233, 0.0042715943, 0.0040686755, 0.0038657556]]"
