N,K,alpha,eta,elbo,coherence,perplexity,topics,weights
50,1,0.01,0.01,39686.36328125,0.3478690375520775,,"[['model', 'function', 'network', 'algorithm', 'problem', 'set', 'neural', 'using', 'method', 'parameter']]","[[0.015341237, 0.01330572, 0.012661139, 0.009658743, 0.008674909, 0.008640985, 0.007385745, 0.0073009315, 0.0066902726, 0.005859101]]"
50,1,0.01,0.31,66591.5703125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.009002938, 0.007807858, 0.007429415, 0.0067322766, 0.00566666, 0.0056567006, 0.005089034, 0.005069116, 0.0043321475, 0.004282352]]"
50,1,0.01,0.61,66794.6484375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008938512, 0.007751968, 0.0073762266, 0.0066840756, 0.00562607, 0.0056161843, 0.005052576, 0.0050328006, 0.004301097, 0.0042516575]]"
50,1,0.01,0.9099999999999999,66780.546875,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008958247, 0.0077690845, 0.0073925187, 0.0066988445, 0.005638505, 0.005628597, 0.0050637443, 0.0050439253, 0.004310609, 0.004261061]]"
50,1,0.01,5.0,66794.046875,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954817, 0.0077661104, 0.007389685, 0.0066962736, 0.0056363456, 0.0056264363, 0.0050617997, 0.0050419886, 0.004308954, 0.0042594247]]"
50,1,0.01,10.0,66794.2109375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954781, 0.007766079, 0.0073896553, 0.0066962466, 0.005636323, 0.005626414, 0.005061779, 0.005041968, 0.004308936, 0.0042594075]]"
50,1,0.31,0.01,37255.20703125,0.3570616241267571,,"[['data', 'set', 'neural', 'using', 'method', 'parameter', 'figure', 'value', 'number', 'also']]","[[0.010266802, 0.009201194, 0.007864673, 0.0077743647, 0.0071241655, 0.006239169, 0.006203046, 0.006058558, 0.005733456, 0.005661213]]"
50,1,0.31,0.31,66613.6640625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.009000382, 0.0078056403, 0.007427304, 0.0067303632, 0.005665048, 0.0056550936, 0.00508759, 0.0050676777, 0.0043309145, 0.004281134]]"
50,1,0.31,0.61,66754.15625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954974, 0.007766247, 0.0073898183, 0.006696396, 0.0056364452, 0.0056265406, 0.005061894, 0.005042082, 0.004309034, 0.004259501]]"
50,1,0.31,0.9099999999999999,66778.703125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008958202, 0.0077690417, 0.00739248, 0.0066988077, 0.0056384737, 0.005628567, 0.0050637163, 0.005043898, 0.0043105856, 0.004261038]]"
